ngram_range,max_features,sublinear_tf,vocab_actual,f1_raw,f1_matched,acc_matched,auc_matched,shortcut_delta,fit_s
"(3, 5)",50000,True,50000,0.9522373876851856,0.7750586128834603,0.7767175572519084,0.7952770817551424,0.17717877480172528,4.5120439529418945
"(3, 5)",100000,False,60347,0.9519877088534665,0.7730602657270792,0.7748091603053435,0.7942573276615582,0.1789274431263873,4.706488847732544
"(3, 5)",100000,True,60347,0.9509874527879136,0.7730602657270792,0.7748091603053435,0.7944467105646523,0.17792718706083444,4.410340785980225
"(3, 5)",200000,False,60347,0.9519877088534665,0.7730602657270792,0.7748091603053435,0.7942573276615582,0.1789274431263873,4.329758882522583
"(3, 5)",200000,True,60347,0.9509874527879136,0.7730602657270792,0.7748091603053435,0.7944467105646523,0.17792718706083444,4.303793907165527
"(3, 6)",25000,False,25000,0.9529864130733782,0.7784355179704017,0.7805343511450382,0.7971709107860847,0.1745508951029765,4.869408130645752
"(3, 6)",25000,True,25000,0.9537385242626749,0.7806017511899865,0.7824427480916031,0.7978993065672164,0.17313677307268838,3.956294059753418
"(3, 6)",50000,False,50000,0.9517356383358824,0.7708974005694865,0.7729007633587787,0.7936600431210302,0.18083823776639585,5.594013214111328
"(3, 6)",50000,True,50000,0.9517347934433593,0.7727399697143446,0.7748091603053435,0.7944175747334071,0.17899482372901476,4.921902894973755
"(3, 6)",100000,False,86708,0.948988522417544,0.7690544749368279,0.7709923664122137,0.7936891789522755,0.17993404748071606,5.228806972503662
"(3, 6)",100000,True,86708,0.9494901000596117,0.7730602657270792,0.7748091603053435,0.7942136239146902,0.17642983433253245,4.7634358406066895
"(3, 6)",200000,False,86708,0.948988522417544,0.7690544749368279,0.7709923664122137,0.7936891789522755,0.17993404748071606,4.415758848190308
"(3, 6)",200000,True,86708,0.9494901000596117,0.7730602657270792,0.7748091603053435,0.7942136239146902,0.17642983433253245,4.667126893997192
"(4, 6)",25000,False,25000,0.9399696096148675,0.7453876168740338,0.7480916030534351,0.7909504108152206,0.19458199274083376,3.7420783042907715
"(4, 6)",25000,True,25000,0.9404711880550186,0.7492453802547302,0.7519083969465649,0.7908338674902394,0.19122580780028842,4.6229472160339355
"(4, 6)",50000,False,50000,0.9374639792520492,0.7512722295201404,0.7538167938931297,0.7894936192529572,0.18619174973190877,4.560275077819824
"(4, 6)",50000,True,50000,0.9377177650507741,0.749440913370998,0.7519083969465649,0.7896392984091836,0.18827685167977604,4.459013223648071
"(4, 6)",100000,False,78214,0.9342256264837139,0.7406197406197406,0.7423664122137404,0.7896684342404288,0.19360588586397331,4.115632057189941
"(4, 6)",100000,True,78214,0.9334759848305239,0.7349383458205652,0.7366412213740458,0.7896538663248064,0.1985376390099587,4.157082796096802
"(4, 6)",200000,False,78214,0.9342256264837139,0.7406197406197406,0.7423664122137404,0.7896684342404288,0.19360588586397331,4.809635877609253
"(4, 6)",200000,True,78214,0.9334759848305239,0.7349383458205652,0.7366412213740458,0.7896538663248064,0.1985376390099587,4.537055015563965
