trial,val_f1,ngram_range,max_features,sublinear_tf,min_df,max_df,C,class_weight,threshold,vocab_actual
56,0.971245507110486,2_4,15000,True,5,0.8853461704490071,3.288208107318165,none,0.5399999999999998,15000
67,0.9709359985491438,2_4,25000,True,5,0.8764689645315565,3.5030682746964383,none,0.47999999999999987,16074
32,0.9709336140739909,2_4,25000,True,4,0.9338907040731305,3.495973324435566,none,0.5399999999999998,18465
63,0.9709331825557292,2_5,25000,True,5,0.8522928134641703,3.6632143143533846,none,0.5599999999999998,25000
68,0.9709331825557292,2_4,50000,False,4,0.9445537867967925,4.145850002108367,none,0.5399999999999998,18465
35,0.970932728312138,2_4,15000,True,5,0.8856694388275471,3.7192002059745857,none,0.5599999999999998,15000
24,0.970932728312138,2_4,10000,True,4,0.9705852371914226,2.476389991955306,none,0.5799999999999998,10000
55,0.9706236115066376,2_5,10000,True,3,0.8736995749537624,2.680796901550629,none,0.4999999999999999,10000
26,0.9706204094389748,2_4,50000,True,5,0.9413348904730228,3.040267725174236,balanced,0.5399999999999998,16074
75,0.9706199388253992,2_4,15000,True,5,0.8809724605455134,2.6506299122899524,none,0.5599999999999998,15000
29,0.9706199388253992,2_4,35000,True,4,0.9487205060315113,2.9737863092841206,balanced,0.5599999999999998,18465
47,0.9703085305056897,2_4,10000,True,3,0.8781542852725399,2.37729025698925,none,0.5599999999999998,10000
52,0.9703080897074654,2_5,25000,True,5,0.8568178269377643,3.471253300569176,none,0.5599999999999998,25000
42,0.9703080897074654,2_5,25000,True,5,0.8697766830162273,3.4443415983792893,none,0.5599999999999998,25000
83,0.9703080897074654,2_5,25000,True,5,0.8610155201972883,3.346365118483853,none,0.5599999999999998,25000
76,0.9699966128988781,2_5,25000,True,5,0.8911825740727964,3.2009672040970196,none,0.5399999999999998,25000
79,0.9699953117674636,2_6,25000,False,5,0.9021529002848047,4.933054915545035,none,0.5799999999999998,25000
39,0.9696815043990633,2_4,50000,False,5,0.9856329244650502,1.8780126714054541,none,0.5599999999999998,16074
1,0.9696815043990633,2_6,20000,False,1,0.859757738947792,3.9513097748541113,none,0.5799999999999998,20000
80,0.9693715423342714,2_5,35000,True,4,0.8896745777256958,2.8441812645255515,none,0.5399999999999998,30545
46,0.9693702140959525,2_6,50000,True,5,0.9523543960095525,3.926943862474321,none,0.5799999999999998,33126
44,0.9690592095194499,2_5,25000,False,5,0.8853721398401613,3.083860868438034,none,0.5199999999999998,25000
36,0.9690579040109375,2_6,25000,False,4,0.9328247827987556,3.8153076975620883,none,0.5599999999999998,25000
70,0.9690579040109375,2_4,10000,True,1,0.9671613730046388,1.931102648413941,none,0.5599999999999998,10000
27,0.9687435411458071,2_4,50000,True,5,0.9587742324549121,1.635307906926419,none,0.5599999999999998,16074
23,0.9678081962324846,2_4,15000,True,5,0.9397434903406144,1.3815192659199749,none,0.5199999999999998,15000
18,0.9678055549287927,2_5,35000,True,3,0.8966034129546995,2.346510654944668,balanced,0.5799999999999998,35000
38,0.9668669108669109,2_4,15000,True,1,0.9053099333191945,1.1834184721158543,balanced,0.5599999999999998,15000
48,0.9665546579818178,2_5,35000,True,4,0.8937590232646923,1.683527394829355,none,0.5799999999999998,30545
33,0.9659343030141794,2_6,20000,True,3,0.9739672923014961,2.0635300816935565,none,0.5399999999999998,20000
2,0.9656223679625471,2_6,20000,False,1,0.9954376941646838,1.7751524290641527,none,0.5199999999999998,20000
